str_yes|نعم.
str_village_prosperity_10|تبدو قرية {s60} فقيرة وبائسة بشكل مريع.
str_village_prosperity_20|تبدو قرية {s60} فقيرة جدًا وموحشة.
str_village_prosperity_30|تبدو قرية {s60} فقيرة ومهملة.
str_village_prosperity_40|تبدو قرية {s60} فقيرة إلى حد ما وتكافح.
str_village_prosperity_50|تبدو قرية {s60} عادية.
str_village_prosperity_60|يبدو أن قرية {s60} تزدهر.
str_village_prosperity_70|تبدو قرية {s60} مزدهرة.
str_village_prosperity_80|تبدو قرية {s60} غنية وجيدة الصيانة.
str_village_prosperity_90|تبدو قرية {s60} غنية ومزدهرة جدًا.
str_village_prosperity_100|قرية {s60}، المحاطة بحقول شاسعة خصبة، تبدو غنية للغاية.
str_war_report_minus_4|نحن على وشك خسارة الحرب
str_war_report_minus_3|الوضع يبدو قاتمًا
str_war_report_minus_2|الأمور لا تسير على ما يرام بالنسبة لنا
str_war_report_minus_1|لا يزال بإمكاننا ربح الحرب إذا حشدنا قوانا
str_war_report_0|نحن متكافئون مع العدو
str_war_report_plus_1|لدينا فرصة عادلة لربح الحرب
str_war_report_plus_2|الأمور تسير بشكل جيد للغاية
str_war_report_plus_3|لا ينبغي أن نواجه صعوبة في هزيمتهم
str_war_report_plus_4|نحن على وشك ربح الحرب
str_persuasion_summary_very_bad|تبذل قصارى جهدك لإقناع {s50}، لكن لا يبدو أن أيًا من حججك تصيب. كلما بدأت في تقديم منطق سليم، يبدو أنك تقول شيئًا خاطئًا تمامًا يخرجك عن مسارك. بحلول الوقت الذي تنتهي فيه من الكلام، تفشل في تكوين نقطة متماسكة واحدة لصالحك، وتدرك أن كل ما فعلته هو حفر حفرة أعمق لنفسك. ليس من المستغرب أن {s50} لا يبدو معجبًا.
str_persuasion_summary_bad|تحاول إقناع {s50}، لكن {reg51?هي:هو} يتفوق عليك منذ البداية. حتى أفضل حججك تبدو جوفاء في أذنيك. {s50}، بالمثل، لم تكن له رأي عالٍ جدًا فيما كان عليك قوله.
str_persuasion_summary_average|{s50} يتبين أنه متحدث ماهر ذو عقل حاد، ولا يبدو أنك تستطيع تقديم أي شيء ملموس لا يستطيع {reg51?هي:هو} مواجهته بنقطة منطقية. في النهاية، لا يتمكن أي منكما من كسب أي أرضية في هذه المناقشة.
str_persuasion_summary_good|من خلال التفكير السريع والجدال السلس، تتمكن من عرض قضيتك بشكل جيد، مما يجبر {s50} على التنازل في عدة نقاط. ومع ذلك، لا يزال {reg51?هي:هو} يعرب عن شكوكه حول طلبك.
str_persuasion_summary_very_good|تلقي خطابًا عاطفيًا يتردد صداه في جميع الآذان المستمعة كالشعر. يبدو أن العالم نفسه يهدأ ليسمعك بشكل أفضل. الكلمات الملهمة قد أثرت في {s50} بعمق، وتبدو {reg51?هي:هو} أكثر استعدادًا لمساعدتك.
str_surname_1|{s50} من تارنوست
str_surname_2|{s50} من لوسارناخ
str_surname_3|{s50} من إريك
str_surname_4|{s50} من إديلوند
str_surname_5|{s50} من بيلارغير
str_surname_6|{s50} من لينهير
str_surname_7|{s50} من إثرينغ
str_surname_8|{s50} من ألدبورغ
str_surname_9|{s50} من آيزنغارد
str_surname_10|{s50} من ويستفولد
str_surname_11|{s50} من إريبور
str_surname_12|{s50} من إيستفولد
str_surname_13|{s50} من مورانون
str_surname_14|{s50} من سيريث أونغول
str_surname_15|{s50} من أوسغيلياث
str_surname_16|{s50} من موريا
str_surname_17|{s50} من ديل
str_surname_18|{s50} من إسغاروث
str_surname_19|{s50} من دول غولدور
str_surname_20|{s50} من غونداباد
str_surname_21|{s50} الطويل
str_surname_22|{s50} النحيل
str_surname_23|{s50} النازغول
str_surname_24|{s50} العصفور
str_surname_25|{s50} الملعون
str_surname_26|{s50} المندب
str_surname_27|{s50} الجميل
str_surname_28|{s50} الكئيب
str_surname_29|{s50} الأحمر
str_surname_30|{s50} الأسود
str_surname_31|{s50} الطويل القامة
str_surname_32|{s50} نجمي العينين
str_surname_33|{s50} الشجاع
str_surname_34|{s50} عاضّ الشجر
str_surname_35|{s50} الماكر
str_surname_36|{s50} الجبان
str_surname_37|{s50} المشرق
str_surname_38|{s50} السريع
str_surname_39|{s50} المنشد
str_surname_40|{s50} الجريء
str_surname_41|{s50} ساخط الرأس
str_number_of_troops_killed_reg1|عدد القتلى من القوات: {reg1}
str_number_of_troops_wounded_reg1|عدد الجرحى من القوات: {reg1}
str_number_of_own_troops_killed_reg1|عدد القتلى من القوات الصديقة: {reg1}
str_number_of_own_troops_wounded_reg1|عدد الجرحى من القوات الصديقة: {reg1}
str_retreat|انسحاب!
str_siege_continues|القتال مستمر...
str_casualty_display|خسائرك: {s10}^خسائر العدو: {s11}{s12}
str_casualty_display_hp|^لقد أصبت بجروح قوتها {reg1} نقطة.
str_quest_log_updated|تم تحديث سجل المهام...
str_banner_selection_text|لقد مُنحت الحق في حمل راية. ستشير رايتك إلى مكانتك وتجلب لك الشرف. أي راية تريد أن تختار؟
str_retirement_text_1|بعد فوات الأوان تدرك أن أموالك لن تدوم. لا يستغرق الأمر وقتًا طويلاً لتبديد ما كنت حريصًا على ادخاره، ويصيبك الفشل في عدة محاولات يائسة لبدء المغامرة مرة أخرى. ينتهي بك الأمر متسولًا في {s9}، تعيش على الصدقات وخير الكنيسة.
str_retirement_text_2|بعد فوات الأوان تدرك أن أموالك لن تدوم. لا يستغرق الأمر وقتًا طويلاً لتبديد ما كنت حريصًا على ادخاره. بمجرد أن تتبخر كل دينار في يديك، تُجبر على بدء حياة إجرامية في الأزقة الخلفية لـ {s9}، مستخدمًا مهاراتك لكسب لقمة العيش بسرقة العملات النحاسية من النساء وفقراء المدينة.
str_retirement_text_3|بعد فوات الأوان تدرك أن أموالك لن تدوم. لا يستغرق الأمر وقتًا طويلاً لتبديد ما كنت حريصًا على ادخاره، وتنتهي بك الأمر متشردًا مفلسًا، تتنقل من حانة إلى أخرى، تحتال على المشروبات من الزبائن المتساهلين من خلال تسليتهم بقصص حرب لا يصدقها أحد أبدًا.
str_retirement_text_4|الفضة التي ادخرتها لم تدم طويلاً، لكنك تمكنت من جمع ما يكفي لشراء بعض الأراضي بالقرب من قرية {s7}. هناك تصبح مزارعًا حرًا، وسرعان ما تبدأ في جذب زوجات/أزواج محتملين. بمرور الوقت، يبدأ القرويون في معاملتك كبطل محلي لهم. تحصل دائمًا على مكان شرف في الأعياد، وتُروى وتُعاد رواية مآثرك في الحانات، ليحتفظ الأطفال بذكراك إلى الأبد.
str_retirement_text_5|الفضة التي ادخرتها لم تدم طويلاً، لكنها تكفي لشراء حانة صغيرة في {s9}. على الرغم من أن السكان المحليين حذرون منك في البداية، إلا أنهم سرعان ما يقبلونك في وسطهم. بمرور الوقت، تصبح حانتك المتنامية قاعة احتفالات ومكان لقاء شهير. يأتي الناس من أميال لتناول الطعام أو الإقامة هناك بسبب شهرتك الكبيرة والقصص الملحمية التي ترويها عن أيام مغامرتك.
str_retirement_text_6|لقد ادخرت بحكمة طوال مسيرتك المهنية، والآن تسمح لك فضتك وذكائك بالقيام ببعض الاستثمارات الممتازة لتأمين مستقبلك. بعد شراء عدة متاجر ومستودعات في {s9}، تحولك دهاءك إلى أحد أبرز التجار في المدينة، وسرعان ما تصبح رجل/امرأة ثري/ة معروفًا بإمبراطوريته التجارية بقدر ما هو معروف بمآثره في المعركة.
str_retirement_text_7|كنبيل صاحب أرض، مهما كان صغيرًا، فإن مستقبلك مضمون إلى حد كبير. تستقر في معقلك في {s7}، تدير القرية والحقول، وتقضي في المحاكم المحلية وتفي بالتزاماتك تجاه سيدك الإقطاعي. بين الحين والآخر يستدعيك سيدك للتجمهر والقيادة في حملاته، لكن هذه الفترات قصيرة، ولا تعود أبدًا حقًا إلى مغامرة أيام شبابك. لقد كونت ثروتك بالفعل. مع قاعتك وممتلكاتك الخاصة، لديك القليل من الرغبات التي لا تستطيع ثروتك الشخصية ودخل أراضيك توفيرها.
str_retirement_text_8|لا شك أنك قد أحرزت نجاحًا كبيرًا. ممتلكاتك الواسعة وثروة مغامرتك كافية لضمان حياة غنية وسهلة لبقية أيامك. بعد تقاعدك إلى مقعدك النبيل في {s8}، تستبدل المغامرة بالسياسة، وسرعان ما تثبت نفسك كقوة كبيرة في مملكة سيدك الإقطاعي. مع المؤامرات لشغل نفسك بها، وغاباتك الخاصة لتصطاد فيها، وقاعة للاحتفال فيها ومئات من قصص الحرب الجيدة لترويها، لا تواجه صعوبة تذكر في الاستفادة القصوى من السنوات التي تلي ذلك.
